Link,Incident,Type,State,Incident Size,Updated Sort ascending
https://inciweb.nwcg.gov/incident-information//incident-information/azasf-black-river-complex,Black River Complex,Wildfire,Arizona,2357 Acres,2 months ago
https://inciweb.nwcg.gov/incident-information//incident-information/or98s-golden-fire,Golden Fire,Wildfire,Oregon,2137 Acres,2 months ago
https://inciweb.nwcg.gov/incident-information//incident-information/mthlf-rogers-pass-fire,Rogers Pass Fire,Wildfire,Montana,46 Acres,2 months ago
https://inciweb.nwcg.gov/incident-information//incident-information/waqnt-margarita-fire,Margarita Fire,Wildfire,Washington,61 Acres,2 months ago
https://inciweb.nwcg.gov/incident-information//incident-information/azpnf-2023-grapevine-fire,2023 Grapevine Fire,Wildfire,Arizona,1049 Acres,2 months 1 week ago
https://inciweb.nwcg.gov/incident-information//incident-information/azfta-spoon-fire,Spoon Fire,Wildfire,Arizona,4560 Acres,2 months 1 week ago
https://inciweb.nwcg.gov/incident-information//incident-information/azfta-cottonwood-ridge-fire-,Cottonwood Ridge Fire,Wildfire,Arizona,345 Acres,2 months 1 week ago
https://inciweb.nwcg.gov/incident-information//incident-information/cainf-cowtrack-lightning-fire,COWTRACK LIGHTNING FIRE,Wildfire,California,323 Acres,2 months 1 week ago
https://inciweb.nwcg.gov/incident-information//incident-information/azpnf-2023-racetrack-fire,2023 Racetrack Fire,Wildfire,Arizona,405 Acres,2 months 2 weeks ago
https://inciweb.nwcg.gov/incident-information//incident-information/wases-newell-road,NEWELL ROAD,Wildfire,Washington,60551 Acres,2 months 2 weeks ago
https://inciweb.nwcg.gov/incident-information//incident-information/wawfs-wawawai,Wawawai,Wildfire,Washington,526 Acres,2 months 2 weeks ago
https://inciweb.nwcg.gov/incident-information//incident-information/txgup-cutoff-ridge-fire,Cutoff Ridge Fire,Wildfire,Texas,430 Acres,2 months 3 weeks ago
https://inciweb.nwcg.gov/incident-information//incident-information/cainf-inyo-national-forest-2023-prescribed-fire-projects,INYO NATIONAL FOREST 2023 PRESCRIBED FIRE PROJECTS,Prescribed Fire,California,,2 months 3 weeks ago
https://inciweb.nwcg.gov/incident-information//incident-information/ormhf-boulder-fire,Boulder Fire,Wildfire,Oregon,233 Acres,2 months 3 weeks ago
https://inciweb.nwcg.gov/incident-information//incident-information/azasf-campbell-fire,Campbell Fire,Wildfire,Arizona,1416 Acres,2 months 4 weeks ago
https://inciweb.nwcg.gov/incident-information//incident-information/nvhtf-lucky-fire,Lucky Fire,Wildfire,Nevada,157 Acres,3 months ago
https://inciweb.nwcg.gov/incident-information//incident-information/cabdf-2023-san-bernardino-national-forest-wildfire-crisis-response-,2023 - San Bernardino National Forest Wildfire Crisis Response,Prescribed Fire,California,Acres,3 months ago
https://inciweb.nwcg.gov/incident-information//incident-information/wases-tunnel-five-fire,Tunnel Five Fire,Wildfire,Washington,529 Acres,3 months ago
https://inciweb.nwcg.gov/incident-information//incident-information/calpf-2023-los-padres-national-forest-flood-response,2023 Los Padres National Forest - Flood Response,Flood,California,Acres,3 months ago
